JobID	JobTitle	CompanyName	Location	JobURL	RobotCode	CreatedAt	NormalizedJob	City	Country	Region	GeoID
9804	Cyber Security Specialist	Cyber Nexus	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4249002061/	0	2025-06-13 00:45:51.710	Specialist	Zurich	Switzerland	Europe	102436504
9805	KYC Specialist (f/m/x) with verification	Deutsche Bank	Zurich, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4237937695/	0	2025-06-13 00:45:51.720	Specialist	Zurich	Switzerland	Europe	102436504
9806	Wealth Management Operations, Client Onboarding / Maintenance Specialist, Associate, Zurich with verification	Goldman Sachs	Zurich, Zurich, Switzerland	https://www.linkedin.com/jobs/view/4242652264/	0	2025-06-13 00:45:51.730	Specialist	Zurich	Switzerland	Europe	102436504
9807	[Full Remote] Communications Specialist - EMEA (Marketing)	Joinrs UK	EMEA (Remote)	https://www.linkedin.com/jobs/view/4247404700/	0	2025-06-13 00:45:51.740	Specialist	Zurich	Switzerland	Europe	102436504
9808	Sales Support Specialist - Financial Technology Solutions & Payments	Euronet EFT Segment	Zurich, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4237405061/	0	2025-06-13 00:45:51.747	Specialist	Zurich	Switzerland	Europe	102436504
9811	Client Services Specialist with verification	Investec	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4246358252/	0	2025-06-13 00:45:51.773	Specialist	Zurich	Switzerland	Europe	102436504
9812	Product Sales Specialist with verification	Adobe	Zurich, Zurich, Switzerland (Remote)	https://www.linkedin.com/jobs/view/4203302494/	0	2025-06-13 00:45:51.780	Specialist	Zurich	Switzerland	Europe	102436504
9813	Customer Support Specialist with verification	Alpian Bank	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4237450409/	0	2025-06-13 00:45:51.790	Specialist	Zurich	Switzerland	Europe	102436504
9814	Customer Service Specialist, E-Commerce	TOM FLOWERS	Schlieren, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4234946730/	0	2025-06-13 00:45:51.797	Specialist	Zurich	Switzerland	Europe	102436504
9815	Technology Asset & Supply Chain  Specialist with verification	FIFA	Zurich, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4236125412/	0	2025-06-13 00:45:51.807	Specialist	Zurich	Switzerland	Europe	102436504
